Layer,Name,GEOID,Population,CIP_2010-2020,CIP_2010-2020_moe,PCT-W_2018-2022,PCT-W_2018-2022_moe,POP_2018-2022,POP_2018-2022_moe,EKW_2022,EKW_2022_moe,RBS_2018-2022,RBS_2018-2022_moe,RBU_2018-2022,RBU_2018-2022_moe,TRF_2020,TRF_2020_moe,EVR_2018,EVR_2018_moe,VAC_2018-2022,VAC_2018-2022_moe
,,,,"Change in Population (% change), 2010-2020",(90% margin of error),"Demographics, Non-Hispanic White (% of residents), 2018-2022",(90% margin of error),"Population (residents), 2018-2022",(90% margin of error),"Walkability Index, 2022",(90% margin of error),"Severely rent-burdened (% of renter-occupied housing units), 2018-2022",(90% margin of error),"Rent-burdened (% of renter-occupied housing units), 2018-2022",(90% margin of error),"Traffic intensity (distance-weighted vehicles), 2020",(90% margin of error),"Eviction rate (% of renter-occupied households), 2018",(90% margin of error),"Vacant (% of housing units), 2018-2022",(90% margin of error)
Census tract,Tract 403,17031040300,2928,-4.594330401,,43.38883447600392,10.807093574681971,3063.0,411.0,14.89,,17.025862068965516,12.868691521309348,22.198275862068968,13.603007418643578,99.26465777105872,,0.0,,0.0,1.0443864229765014
Census tract,Tract 404.01,17031040401,3129,1.196636481,,57.65083066161469,6.258728849195269,3431.0,573.0,15.33,,18.136439267886857,12.034654822256352,32.27953410981697,13.021084525272878,293.71074763039314,,0.19,,7.551919446192574,5.393668301566782
Census tract,Tract 404.02,17031040402,4746,6.222023277,,73.87033398821218,4.468141584148399,4581.0,414.0,15.07,,8.064516129032258,4.117538688774825,28.086763070077865,8.724657899513941,99.71561547696798,,0.06,,7.82387190684134,6.374789158156538
Census tract,Tract 406,17031040600,2530,3.944124897,,75.18850987432674,3.772798363983648,2785.0,402.0,16.67,,20.588235294117645,10.831731437486669,50.49019607843137,16.308810442823663,223.99886054687744,,0.13,,5.522827687776141,4.736847487817095
Census tract,Tract 407,17031040700,3426,9.702209414,,71.11229661242999,6.465520084241618,3749.0,417.0,14.67,,25.84884994523549,9.05716855718342,36.03504928806134,9.660255181968123,280.7681914267951,,0.23,,4.6643913538111486,3.8504099765170356
Census tract,Tract 408,17031040800,1636,8.058124174,,70.19657577679138,5.860452806674116,1577.0,193.0,15.92,,10.633484162895927,6.313100246296553,26.47058823529412,8.42544934773119,133.868206443857,,0.24,,13.997760358342664,5.590221646025485
Census tract,Tract 409,17031040900,2063,5.794871795,,81.90428713858424,4.456858762504687,2006.0,231.99999999999997,15.67,,14.659685863874344,7.771183056934716,51.047120418848166,20.23960941718083,92.78722433831312,,0.33,,2.0151133501259446,3.2637670394020617
Census tract,Tract 501,17031050100,2568,12.13973799,,87.10704337445284,5.963171783432514,2513.0,427.0,18.08,,9.423347398030945,8.164323682266005,26.019690576652604,13.98977280966491,135.99091612687695,,,,4.761904761904762,5.066798519157195
Census tract,Tract 502,17031050200,5309,9.758114534,,75.00901550667147,15.334045164097336,5546.0,845.0,17.22,,19.066666666666663,9.88148822939411,29.6,11.686842878306452,216.5179683244679,,0.0,,10.196078431372548,7.236868638230569
Census tract,Tract 503,17031050300,2671,12.93868922,,57.44079179922233,11.96468671553792,2829.0,419.0,15.5,,16.187989556135772,12.709403238444994,29.765013054830288,16.13350824575551,300.8357099412205,,0.58,,7.495741056218058,5.999783067870154
Census tract,Tract 505,17031050500,5117,7.635675221,,84.18926716676283,15.870504406715682,5199.0,712.0,15.430000000000001,,6.216931216931217,5.252726726844417,33.33333333333333,20.32575261287179,239.6930553273364,,0.0,,15.70945945945946,7.462949767639841
Census tract,Tract 506,17031050600,2443,17.96233704,,84.58781362007169,7.758735154191862,2232.0,275.0,16.5,,8.40630472854641,5.131611668278991,29.59719789842381,10.59853677772336,150.2862568452886,,0.0,,0.6902502157031924,1.117900601133866
Census tract,Tract 507,17031050700,1513,6.699576869,,85.50824175824175,8.62703031809416,1456.0,246.00000000000003,15.67,,9.365558912386708,8.512767696107614,16.012084592145015,10.849820795374516,30.75445714,,,,9.93288590604027,7.471867374644679
Census tract,Tract 508,17031050800,1406,9.076803724,,61.23032904148784,18.399982880907157,1398.0,347.0,16.0,,6.181818181818182,6.771649648282722,34.18181818181818,17.122754046199187,47.60103264,,,,11.7039586919105,8.989360056235084
Census tract,Tract 509,17031050900,1426,2.516175413,,73.05475504322767,8.586277671619937,1388.0,230.0,15.83,,11.3314447592068,13.825015798293391,22.096317280453256,14.274448099764452,338.3632725,,,,13.142857142857142,8.047765566431773
Census tract,Tract 510,17031051000,1538,2.328675981,,72.11482132396017,7.470727447637667,1707.0,182.0,17.83,,7.03125,6.41857438761905,21.484375,12.232047958908366,460.2660202,,,,7.712082262210797,4.830417518494245
Census tract,Tract 511,17031051100,1599,2.763496144,,67.3490813648294,8.574942503648852,1905.0,281.0,17.67,,21.406727828746178,12.712944552231605,27.522935779816518,10.679103832176043,118.1082457,,0.36,,11.98547215496368,6.488020864662444
Census tract,Tract 512,17031051200,1581,4.287598945,,73.28680203045685,8.85213202743908,1576.0,176.0,16.5,,18.27956989247312,13.762403210468097,21.50537634408602,14.27734286385614,100.12280454875396,,0.0,,4.354354354354354,4.619768695491723
Census tract,Tract 513,17031051300,2907,8.348863213,,66.3958401039974,14.731052795274492,3077.0,485.00000000000006,16.08,,24.892703862660944,21.328708073000197,36.48068669527897,22.44200936680607,66.0833983954902,,0.0,,4.114490161001789,4.631188923750989
Census tract,Tract 514,17031051400,2492,19.98074145,,61.89349112426036,11.812972783590238,2535.0,362.0,15.42,,11.959287531806616,8.847441524314618,25.44529262086514,11.671829674302336,83.9777598991814,,0.29,,13.674496644295305,5.821168328587252
